date,Strategy,IQ Hedge Multi-Strategy Tracker ETF (QAI),MSCI World Index
2004-05-31,1.0,1.0,1.0
2004-06-30,0.9955512219006553,1.0,1.0005063093939865
2004-07-31,1.054393460041246,1.0,0.9676351456613177
2004-08-31,1.1029144250970475,1.0,0.9717635145661315
2004-09-30,1.1659536179744188,1.0,0.9906916965259385
2004-10-31,1.2187798017775087,1.0,1.0140987692787031
2004-11-30,1.3527547520824192,1.0,1.0678065119177433
2004-12-31,1.3760184796185775,1.0,1.108116529054369
2005-01-31,1.4165648988123265,1.0,1.0838915718959334
2005-02-28,1.36645005408579,1.0,1.11968375136314
2005-03-31,1.4695305644496195,1.0,1.0924988315937054
2005-04-30,1.507941787684779,1.0,1.0659760087240993
2005-05-31,1.5627856644482214,1.0,1.0829957937373411
2005-06-30,1.6834459213382926,1.0,1.0922262034584815
2005-07-31,1.676134707433442,1.0,1.1316793893129762
2005-08-31,1.76386265572905,1.0,1.1380277301760386
2005-09-30,1.887334845064082,1.0,1.1707431064028653
2005-10-31,1.8315134267632536,1.0,1.1384950926935642
2005-11-30,2.027121795409339,1.0,1.177870384795137
2005-12-31,2.1292891348096354,1.0,1.205912135846702
2006-01-31,2.379635971060867,1.0,1.264449291166845
2006-02-28,2.2984769260428237,1.0,1.2608661785324782
2006-03-31,2.4024126579492107,1.0,1.2844290387910853
2006-04-30,2.5595272383722247,1.0,1.324933790310013
2006-05-31,2.6582353865959067,1.0,1.268655553824579
2006-06-30,2.597095525133763,1.0,1.2662019006075675
2006-07-31,2.410800573299396,1.0,1.273718647764446
2006-08-31,2.515677443204082,1.0,1.3039803707742599
2006-09-30,2.567597503804097,1.0,1.317494936906056
2006-10-31,2.673855688032102,1.0,1.3660616918523103
2006-11-30,2.769560336283132,1.0,1.402243340084122
2006-12-31,2.897362343130068,1.0,1.4323882224645546
2007-01-31,3.0102230664710787,1.0,1.445708054214049
2007-02-28,2.8737682609879234,1.0,1.436282910110606
2007-03-31,2.9261828910208143,1.0,1.4616762735628575
2007-04-30,3.1324083995850276,1.0,1.5233681258763019
2007-05-31,3.1791989072136797,1.0,1.5637949836423086
2007-06-30,3.326383481507423,1.0,1.557057174014642
2007-07-31,3.1060317282277605,1.0,1.5319364386976144
2007-08-31,3.166533778517884,1.0,1.5247312665524206
2007-09-30,3.6178107846837606,1.0,1.6042997351612385
2007-10-31,3.9206014882650053,1.0,1.6654852780806957
2007-11-30,3.788548014079203,1.0,1.5894220283533236
2007-12-31,4.183463927837866,1.0,1.570532793269978
2008-01-31,4.291177733222439,1.0,1.440761800903566
2008-02-29,5.357622306025175,1.0,1.44263125097367
2008-03-31,4.876207891750335,1.0,1.417627356286024
2008-04-30,4.95856739470522,1.0,1.4928337747312648
2008-05-31,5.067401520227027,1.0,1.5101651347561897
2008-06-30,5.633069184522447,1.0,1.384171989406447
2008-07-31,5.283007900531402,1.0,1.3465882536220568
2008-08-31,5.109991763250109,1.0,1.3148854961832035
2008-09-30,5.06712380023258,1.0,1.1481149711793095
2008-10-31,5.566118779298036,1.0,0.9195747001090496
2008-11-30,6.152480733303129,1.0,0.857026016513474
2008-12-31,6.657452446383664,1.0,0.8867424832528419
2009-01-31,6.426399327446482,1.0,0.8101729241314835
2009-02-28,6.496441011080938,1.0,0.7289686867113246
2009-03-31,6.674556146371713,0.9888886197960816,0.7868826920080997
2009-04-30,6.7722430852228355,1.0115134048582015,0.877239445396478
2009-05-31,6.854064330201686,1.0396987236928148,0.9607804954042677
2009-06-30,6.690726644006585,1.0361289385096026,0.9538090045178369
2009-07-31,6.88627226424387,1.0520064905185151,1.0365321701199552
2009-08-31,7.272347409358744,1.0476423433678042,1.0714285714285707
2009-09-30,7.576545202424471,1.0738417572836698,1.1186711325751668
2009-10-31,7.241087397780017,1.0682860671817103,1.1005997818974909
2009-11-30,7.763750263538179,1.0901164902763314,1.1437529210157338
2009-12-31,7.7668646259550265,1.086251241190574,1.1662252687334473
2010-01-31,7.877748405011689,1.0690368361144074,1.1151659136937215
2010-02-28,8.198217934301207,1.0686348114601243,1.1275120735317028
2010-03-31,8.875199286205559,1.089055726429488,1.1972269823960124
2010-04-30,9.058001842408661,1.0870552904991408,1.1970322480137099
2010-05-31,9.023023194884177,1.0418105640454345,1.079490574855897
2010-06-30,9.342565106510852,1.057426557845536,1.0447499610531235
2010-07-31,9.761334265327859,1.0850500108982593,1.128485745443216
2010-08-31,10.475654978206268,1.0870552904991408,1.086851534506933
2010-09-30,11.136272496687273,1.1118791019834837,1.1885028820688581
2010-10-31,11.725277863205397,1.1186844590830936,1.230526561769746
2010-11-30,11.887699828247625,1.1030684652829923,1.2010437762891413
