date,Strategy,IQ Hedge Multi-Strategy Tracker ETF (QAI),MSCI World Index
2020-03-31,0.05035919571967673,-0.05634608740715186,-0.13731570325298348
2010-05-31,-0.003861629544025691,-0.0416213663179279,-0.09819424109321628
2022-09-30,0.011634166514356448,-0.039808179914011976,-0.0974316065548102
2011-09-30,-0.03744448515265153,-0.02214119499303646,-0.09651664413109284
2012-05-31,0.053879779406816874,-0.012660972488531597,-0.09337633492560926
